Key,Id,Shared Comments,Chinese (Simplified)(zh-CN),Chinese (Simplified)(zh-CN) Comments,English(en),English(en) Comments
"STG_FrameCap_desc",343984055509034,"","调整游戏内帧率的限制。","","Adjusts the in-game frame rate limit.",""
"STG_Vsync",343984055509035,"","垂直同步","","Vsync",""
"STG_Vsync_desc",343984055509036,"","启用/禁用垂直同步。","","Enables/disables Vsync.",""
"STG_HDR",343984055509037,"","HDR渲染","","HDR Rendering",""
"STG_HDR_desc",343984055509038,"","启用/禁用HDR渲染。","","Enables/disables HDR rendering.",""
"STG_Brightness",343984055509039,"","亮度","","Brightness",""
"STG_Brightness_desc",343984055509040,"","调整屏幕亮度。","","Adjusts screen brightness.",""
"STG_Gamma",343984055509041,"","灰度","","Gamma",""
"STG_Gamma_desc",343984055509042,"","调整屏幕灰度。","","Adjusts screen gamma.",""
"STG_Contrast",343984055509043,"","对比度","","Contrast",""
"STG_Contrast_desc",343984055509044,"","调整屏幕对比度。","","Adjusts screen contrast.",""
"STG_Bloom",343984055509045,"","泛光","","Bloom",""
"STG_Bloom_desc",343984055509046,"","调整泛光效果。","","Adjusts bloom effects.",""
"STG_CameraShake",343984055509047,"","镜头抖动","","Camera Shake",""
"STG_CameraShake_desc",343984055509048,"","启用/禁用镜头抖动效果。","","Enables/disables the camera shake effect.",""
"STG_ColorBlindMode",343984055509049,"","色盲模式","","Colorblind Mode",""
"STG_ColorBlindMode_desc",343984055509050,"","选择一种色盲模式。","","Select a colorblind mode.",""
"STG_ColorBlindStrength",343984055509051,"","色盲强度","","Colorblind Strength",""
"STG_ColorBlindStrength_desc",343984055509052,"","调整色盲滤镜强度。","","Adjust colorblind filter strength.",""
"STG_CursorSize",343984055509053,"","光标大小","","Cursor Size",""
"STG_CursorSize_desc",343984055509054,"","调整光标大小","","Adjust the cursor size",""
"STG_CursorHue",343984055509055,"","光标色相","","Cursor Hue",""
"STG_CursorHue_desc",343984055509056,"","调整光标色相","","Adjust the cursor hue",""
"STG_CursorSaturation",343984055509057,"","光标饱和度","","Cursor Saturation",""
"STG_CursorSaturation_desc",343984055509058,"","调整光标饱和度","","Adjust the cursor saturation",""
"STG_SaveMessage",343984055509059,"","是否保存以上设置？","","Do you wish to keep these settings?",""
"STG_ResetAllButton",343984055509060,"","全部重置","","Reset all settings",""
"STG_ResetGeneralButton",343984055509061,"","重置常规设置","","Reset general settings",""
"STG_ResetAudioButton",343984055509062,"","重置音频设置","","Reset audio settings",""
"STG_ResetGraphicsButton",343984055509063,"","重置图形设置","","Reset graphics settings",""
"STG_ResetControlsButton",343984055509064,"","重置控制设置","","Reset controls settings",""
"STG_ResetAccessibilityButton",343984055509065,"","重置辅助功能设置","","Reset accessibility settings",""
"STG_ResetAllMessage",343984055509066,"","确定要重置所有设置吗？","","Do you wish to reset all settings?",""
"STG_ResetCurrentSettingsMessage",343984055509067,"","确定要重置此项设置吗？
","","Do you wish to reset these settings?",""
"STT_CardButton",343984055509068,"","卡牌","","CARDS",""
"STT_CharmButton",343984055509069,"","护符","","CHARMS",""
"STT_OnKill",343984055509070,"","击杀时","","ON KILL",""
"STT_OnHit",343984055509071,"","命中时","","ON HIT",""
"STT_Slow",343984055509072,"","减速","","Slow",""
"STT_Burn",343984055509073,"","燃烧","","Burn",""
"STT_Poison",343984055509074,"","中毒","","Poison",""
"STT_Bleed",343984055509075,"","流血","","Bleed",""
"STT_LifeSteal",343984055509076,"","吸血","","Life Steal",""
"STT_Explosion",343984055509077,"","爆炸","","Explosion",""
"STT_XpPullAOE",343984055509078,"","经验吸取范围","","XP Pull AOE",""
"STT_DamageTxt",343984055509079,"","伤害：","","Damage:",""
"STT_ATKSpeedTxt",343984055509080,"","攻击速度：","","ATK SPD:",""
"STT_CritDmgTxt",343984055509081,"","暴击伤害：","","CRIT DMG:",""
"STT_CritRateTxt",343984055509082,"","暴击率：","","CRIT Rate:",""
"STT_AtkSizeTxt",343984055509083,"","攻击范围：","","ATK Size:",""
"STT_DurationTxt",343984055509084,"","持续时间：","","Duration:",""
"STT_ProjCountTxt",343984055509085,"","射弹数量：","","PROJ Count:",""
"STT_MaxHp",343984055509086,"","生命值上限","","MAX HP",""
"STT_XpMod",343984055509087,"","经验模组","","XP MOD",""
"STT_MagArea",343984055509088,"","磁吸范围","","MAG Area",""
"STT_MoveSpeed",343984055509089,"","移动速度","","MOV SPD",""
"STT_ChainLightning",343984055509090,"","Chain Lightning","","Chain Lightning",""
"STT_Weaken",343984055509091,"","Weaken","","Weaken",""
"STT_Transform",343984055509092,"","Transform","","Transform",""
"STT_KnockBack",343984055509093,"","KnockBack","","STT_KnockBack",""
"STT_Clone",343984055509094,"","Clone","","Clone",""
"STT_Tentacles",343984055509095,"","Tentacles","","Tentacles",""
"STT_OnKillSpawnUndead",343984055509096,"","OnKillSpawnUndead","","OnKillSpawnUndead",""
"STT_OnStatusIntaKillChance",343984055509097,"","OnStatusIntaKillChance","","OnStatusIntaKillChance",""
"STT_StatSwapChanceModifier",343984055509098,"","StatSwapChanceModifier","","StatSwapChanceModifier",""
"STT_StatusStackConsumeChance",343984055509099,"","StatusStackConsumeChance","","StatusStackConsumeChance",""
"STT_CloneBoostCardsModifier",343984055509100,"","CloneBoostCardsModifier","","CloneBoostCardsModifier",""
"STT_ExtraDamageBasedOnKnockback",343984055509101,"","ExtraDamageBasedOnKnockback","","ExtraDamageBasedOnKnockback",""
"STT_ExtraDamageOnLowerHealth",343984055509102,"","ExtraDamageOnLowerHealth","","ExtraDamageOnLowerHealth",""
"STT_OnHItBoot",343984055509103,"","OnHItBoot","","OnHItBoot",""
"STT_OnKillEnemyToDamageEffectMorph",343984055509104,"","OnKillEnemyToDamageEffectMorph","","OnKillEnemyToDamageEffectMorph",""
"STT_Ultimate",343984055509105,"","神术","","Spell",""
"SPB_Level",343984055509106,"","等级","","Level",""
"WSM_InfoPanel",343984055509107,"","显示/隐藏数值","","Toggle Stats",""
"RST_DamageTaken",343984055509108,"","承受伤害：","","DMG Taken:",""
"RST_EnemyKills",343984055509109,"","敌人：","","Enemies:",""
"RST_TotalDamage",343984055509110,"","总伤害：","","Total DMG:",""
"RST_QuestsCleared",343984055509111,"","完成任务：","","Quests Cleared:",""
"RST_EliteKills",343984055509112,"","精英敌人：","","Elite Enemies:",""
"RST_TemplesActivated",343984055509113,"","神龛：","","Temples:",""
"RST_HpRecovered",343984055509114,"","恢复生命值：","","HP Recovered:",""
"RST_TotalHits",343984055509115,"","命中：","","Hits:",""
"RST_TotalScore",343984055509116,"","总分数：","","Total Score:",""
"RST_WailsCollectedText",343984055509117,"","已拥有：","","In possession:",""
"DLG_Auto",343984055509118,"","自动","","Auto",""
"DLG_Skip",343984055509119,"","跳过","","Skip",""
"CPM_PickWeaponPlate",343984055509120,"","选择一张武器卡","","Choose a Weapon Card",""
"CPM_PickModPlate",343984055509121,"","选择一张模组卡","","Choose a Mod Card",""
"CPM_VirgilPlate",343984055509122,"","维吉尔的祝福","","Blessing of Virgil",""
"CPM_HoracePlate",343984055509123,"","贺拉斯的祝福","","Blessing of Horace",""
"CPM_HomerPlate",343984055509124,"","荷马的祝福","","Blessing of Homer",""
"CPM_OvidPlate",343984055509125,"","奥维德的祝福","","Blessing of Ovid",""
"CPM_LucanPlate",343984055509126,"","Blessing of Lucan","","Blessing of Lucan",""
"CPM_DropToHandSubmit",343984055509127,"","选择卡牌","","Select",""
"CPM_DropToHandCancel",343984055509128,"","取消装备","","Cancel",""
"CPM_EquipSubmit",343984055509129,"","装备卡牌","","Equip",""
"CPM_SwapCardSubmit",343984055509130,"","移动卡牌","","Move",""
"CPM_SwapCardCancel",343984055509131,"","取消移动","","Cancel Swap",""
"CPM_SwapSlotModeSubmit",343984055509132,"","整理牌组","","Sort",""
"CPM_SwapSlotModeCancel",343984055509133,"","确认牌组","","Confirm",""
"CPM_SwapSlotSubmit",343984055509134,"","移动槽位","","Move Slot",""
"GEN_GiveUp",343984055509135,"","放弃","","Give Up",""
"GEN_GiveUpMsg",343984055509136,"","确定要放弃并返回广场吗？","","Give up and return to the Forum?",""
"GEN_QuitGame",343984055509137,"","退出游戏","","Quit Game",""
"GEN_QuitGameMsg",343984055509138,"","确定要退出吗？你的进度可能会丢失。","","Do you wish to quit? Progress may be lost.",""
"GEN_Continue",343984055509139,"","继续","","Continue",""
"GEN_Settings",343984055509140,"","设置","","Settings",""
"GEN_PickPerk",343984055509141,"","选择一件护符","","Choose a Charm",""
"GEN_PerkPlate",343984055509142,"","贝雅特丽齐的援助","","Favour of Beatrice",""
"GEN_MetaOffer",343984055509143,"","深渊献祭","","Offerings to the Abyss",""
"GEN_NotInDemo",343984055509144,"","此功能仅在完整版中可用。","","This feature is only available in the full version.",""
"GEN_Circle1Limbo",343984055509145,"","灵薄狱","","Limbo",""
"GEN_Circle2Lust",343984055509146,"","色欲","","Lust",""
"GEN_BestowalCollect",343984055509147,"","领取奖励","","Collect Reward",""
"TL_NewGame",343984055509148,"","新游戏","","New Game",""
"TL_Credits",343984055509149,"","制作人员","","Credits",""
"TL_PressButton",343984055509150,"","按任意键","","Press Any Key",""
"IMG_Circle",343984055509151,"","CIRCLE 1 CNS","","CIRCLE 1 ",""
"IMG_LimboQuote",343984055509152,"","LimboQuote_CNS","","LimboQuote",""
"IMG_LImboText",343984055509153,"","The Limbo_CNS","","The Limbo",""
"LST_1",343984055509154,"","<size=200%><font=""NotoSerifSC-SemiBold SDF 1"">提示</font></size> 合并两张一样且等级相同的模组卡可升级该卡。","","<size=200%><font=""CSGrimore-Italic SDFAA 2k padding30"">Tip </font></size> Level up your Mod Cards by merging two of the same card and level.",""
"LST_2",343984055509155,"","<size=200%><font=""NotoSerifSC-SemiBold SDF 1"">提示</font></size> 整理手牌，充分发挥扩散卡的作用。","","<size=200%><font=""CSGrimore-Italic SDFAA 2k padding30"">Tip </font></size> Sort your Player Hand and make the most of your Spread Cards.",""
"LST_3",343984055509156,"","<size=200%><font=""NotoSerifSC-SemiBold SDF 1"">提示</font></size> 触发神龛可提升每局游戏中的数值。","","<size=200%><font=""CSGrimore-Italic SDFAA 2k padding30"">Tip </font></size> Improve your stats in each run by triggering Temples.",""
"LST_4",343984055509157,"","<size=200%><font=""NotoSerifSC-SemiBold SDF 1"">提示</font></size> 积攒深渊悲鸣，升级你的能力！","","<size=200%><font=""CSGrimore-Italic SDFAA 2k padding30"">Tip </font></size> Save up on Wails of the Abyss and upgrade your abilities!",""
"LST_5",343984055509158,"","<size=200%><font=""NotoSerifSC-SemiBold SDF 1"">提示</font></size> 前往集会祭坛，选择你心仪的专属武器！","","<size=200%><font=""CSGrimore-Italic SDFAA 2k padding30"">Tip </font></size> Pick your preferred Signature Weapon by the altar in the Forum!",""
"LST_6",343984055509159,"","<size=200%><font=""NotoSerifSC-SemiBold SDF 1"">提示</font></size> 等级不够？试试重新配置你的手牌！","","<size=200%><font=""CSGrimore-Italic SDFAA 2k padding30"">Tip </font></size> Underleveled? Try rearranging your Player Hand!",""
"LSM_1",343984055509160,"","<size=200%><font=""NotoSerifSC-SemiBold SDF 1"">神话</font></size> 居于灵薄狱的灵魂，死亡时未知祂的伟大。","","<size=200%><font=""CSGrimore-Italic SDFAA 2k padding30"">Mythos </font></size> Limbo harbors the souls of those who died without knowledge of Her glory.",""
"LSM_2",343984055509161,"","<size=200%><font=""NotoSerifSC-SemiBold SDF 1"">神话</font></size> 广场是所有善良的灵薄狱诗人的居所。","","<size=200%><font=""CSGrimore-Italic SDFAA 2k padding30"">Mythos </font></size> The Forum is where all virtuous Poets of Limbo reside.",""
"LSM_3",343984055509162,"","<size=200%><font=""NotoSerifSC-SemiBold SDF 1"">神话</font></size> 灵魂卡是灵魂的物理化身。","","<size=200%><font=""CSGrimore-Italic SDFAA 2k padding30"">Mythos </font></size> Spirit Cards are the physical embodiment of one's soul.",""
"LSM_4",343984055509163,"","<size=200%><font=""NotoSerifSC-SemiBold SDF 1"">神话</font></size> 每层地狱都有本土的布罗奇物种。","","<size=200%><font=""CSGrimore-Italic SDFAA 2k padding30"">Mythos </font></size> Each Circle of Hell has a native Brotchi species.",""
"LSM_5",343984055509164,"","<size=200%><font=""NotoSerifSC-SemiBold SDF 1"">神话</font></size> 当心，情欲风暴无法躲避！","","<size=200%><font=""CSGrimore-Italic SDFAA 2k padding30"">Mythos </font></size> Beware, for the Tempest of Lust is unavoidable!",""
"LSM_6",343984055509165,"","<size=200%><font=""NotoSerifSC-SemiBold SDF 1"">神话</font></size> 别被魅魔迷惑：情欲洞穴可不是谈情说爱的地方！","","<size=200%><font=""CSGrimore-Italic SDFAA 2k padding30"">Mythos </font></size> Don’t let the succubi fool you: the caverns of Lust are no place for romance!",""
"LSM_7",343984055509166,"","<size=200%><font=""NotoSerifSC-SemiBold SDF 1"">神话</font></size> 来世中，所有人类的灵魂都被赐予她作为一位女性的姿容。","","<size=200%><font=""CSGrimore-Italic SDFAA 2k padding30"">Mythos </font></size> In the afterlife, all human souls are granted Her likeness: that of a woman.",""
"END_Text_1",343984055509167,"","“来者啊，快把一切希望扬弃。”","","""Abandon all hope, ye who enter here.""",""
"END_Text_2",343984055509168,"","“祂最珍视的礼物，乃意志的自由。”","","""The gift that She most prizes, is the freedom of the will.""",""
"END_Text_3",343984055509169,"","“祂所统治之处，无一物取决于自然法则。”","","""Where She governs, no thing depends upon the laws of nature.""",""
"END_Text_4",343984055509170,"","“决不允许凡人戏言立誓。”","","""Let mortals never take a vow in jest.""",""
"END_Text_5",343984055509171,"","“我们的安宁存于祂的意志之中。”","","""And in Her will there is our peace.""",""
"END_Text_6",343984055509172,"","“没有获得喘息的希望，亦无减轻痛苦的可能。”","","""No hope for rest and none for lesser pain.""",""
"END_Text_7",343984055509173,"","“让她消失，这便是胆敢擅闯此域的下场。”","","""Let her be gone, for she was reckless, entering this realm.""",""
"END_Text_8",343984055509174,"","“陷入永恒的黑暗之中，承受烈火与冰霜。”","","""Into the eternal dark, to fire and frost.""",""
"END_GameOver",343984055509175,"","GameOverCNS","","GameOverEN_JPN",""
"WIN_StageClear",343984055509176,"","Stage_ClearCNS","","Stage_ClearEN_JPN",""
"RS_ComingSoon",343984055509177,"","即将推出……","","coming soon...",""
"RS_Next",343984055509178,"","下一页","","Next",""
"RS_Details",343984055509179,"","详情","","Details",""
"SMC_ResetBinds",343984055509180,"","重置按键绑定","","Reset Bindings",""
"SMC_Move",343984055509181,"","移动","","Move",""
"SMC_MoveUp",343984055509182,"","上","","Move Up",""
"SMC_MoveLeft",343984055509183,"","左","","Move Left",""
"SMC_MoveDown",343984055509184,"","下","","Move Down",""
"SMC_MoveRight",343984055509185,"","右","","Move Right",""
"SMC_Ultimate",343984055509186,"","神术","","Spell",""
"SMC_Dash",343984055509187,"","冲刺","","Dash",""
"SMC_Stats",343984055509188,"","数值","","Stats",""
"SMC_Interact",343984055509189,"","交互","","Interact",""
"SMC_Aim",343984055509190,"","瞄准","","Aim",""
"CPM_Keyboard",343984055509191,"","键盘","","Keyboard",""
"CPM_Gameplay",343984055509192,""," 调整常规选项","","Adjust general options.",""
"CPM_Audio",343984055509193,"","调整游戏的总体音量。这会影响所有声音、音乐、音效等。","","Adjust the overall Volume of the Game. This affects all the sound parameter, music sfx, etc.",""
"CPM_Graphics",343984055509194,"","调整图形","","Adjust the graphics.",""
"CPM_Controls",343984055509195,"","调整控制","","Adjust the controls.",""
"CPM_Accessibility",343984055509196,"","辅助功能选项","","Accessibility options.",""
"STT_GraphicsTxt",343984055509197,"","应用更改","","Apply Changes",""
"STT_NO",343984055509198,"","否","","否",""
"STT_YES",343984055509199,"","是","","true",""
"STT_LOW",343984055509200,"","低","","LOW",""
"STT_MEDIUM",343984055509201,"","中","","MEDIUM",""
"STT_HIGH",343984055509202,"","高","","HIGH",""
"STT_WINDOWED",343984055509203,"","窗口模式","","WINDOWED",""
"STT_FULLSCREEN",343984055509204,"","全屏","","FULLSCREEN",""
"STT_BORDERLESS",343984055509205,"","无边框","","BORDERLESS",""
"STT_ENG",343984055509206,"","英语","","ENG",""
"STT_JPG",343984055509207,"","JPG","","JPG",""
"STT_en",343984055509208,"","English","","English",""
"STT_pt",343984055509209,"","Português (PT)","","Português (PT)",""
"STT_br",343984055509210,"","Português (BR)","","Português (BR)",""
"STT_ja",343984055509211,"","日本語","","日本語",""
"STT_es",343984055509212,"","Español","","Español",""
"STT_kr",343984055509213,"","한국어","","한국어",""
"STT_cnsi",343984055509214,"","简体中文","","简体中文",""
"STT_cntr",343984055509215,"","繁體中文","","繁體中文",""
"STT_None",343984055509216,"","无","","None",""
"STT_Deuteranomaly",343984055509217,"","绿色盲","","Deuteranopia",""
"STT_Protanomaly",343984055509218,"","红色盲","","Protanopia",""
"STT_Tritanomaly",343984055509219,"","蓝色盲","","Tritanopia",""
"STT_On",343984055509220,"","true","","true",""
"STT_NewGameWarning",343984055509221,"","新游戏将覆盖您现有的存档。是否继续？","","New Game will overwrite your existing save file, proceed?",""
"STT_KeepSettings",343984055509222,"","保留这些设置吗？（{0}秒后将恢复到之前的值）","","Do you wish to keep these settings? (Setting changes will revert in {0} seconds).",""
"STT_ConflictFound",343984055509223,"","发现冲突。重新绑定？","","Conflict found. Rebind?",""
"STT_LVL",343984055509224,"","Lv","","Lv",""
"Tutorial_Movement_001",343984055509225,"","移动","","Move",""
"Tutorial_Movement_002",343984055509226,"","瞄准","","Aim",""
"Tutorial_Movement_003",343984055509227,"","冲刺","","Dash",""
"Tutorial_Movement_004",343984055509228,"","数值","","Stats",""
"Tutorial_HUD_001",343984055509229,"","神术","","Spell",""
"Tutorial_HUD_002",343984055509230,"","冲刺充能","","Dash Charges",""
"Tutorial_HUD_003",343984055509231,"","生命值
和经验值","","Health and Experience",""
"Tutorial_HUD_004",343984055509232,"","玩家等级","","Player Level",""
"Tutorial_HUD_005",343984055509233,"","时间","","Time",""
"Tutorial_HUD_006",343984055509234,"","小地图","","Mini Map",""
"Tutorial_HUD_007",343984055509235,"","玩家手牌","","Player Hand",""
"Tutorial_ModCards_001",343984055509236,"","模组卡","","Mod Cards",""
"Tutorial_ModCards_002",343984055509237,"","卡牌等级","","Card Level",""
"Tutorial_ModCards_003",343984055509238,"","主要属性","","Main Attribute",""
"Tutorial_ModCards_004",343984055509239,"","卡牌颜色","","Card Color",""
"Tutorial_ModCards_005",343984055509240,"","背景颜色标示卡牌的类型。","","Background color indicates the card's type.",""
"Tutorial_ModCards_006",343984055509241,"","描述","","Description",""
"Tutorial_ModCards_007",343984055509242,"","说明卡牌的效果和数值。","","Explains the card's effects and statistics.",""
"Tutorial_ModCards_008",343984055509243,"","模组卡可在局内改造和强化你的武器卡。

探索不同的组合，优化你的玩法！","","Mod Cards modify and enhance your Weapon Cards during the run.

Explore different combinations and refine your playstyle!",""
"Tutorial_ModCardTypes_001",343984055509244,"","模组卡类型","","Mod Card Types",""
"Tutorial_ModCardTypes_002",343984055509245,"","强化卡","","Boost Cards",""
"Tutorial_ModCardTypes_003",343984055509246,"","此类卡牌会强化单张武器卡的单项数值。","","Cards that boost a single stat on an individual Weapon Card.",""
"Tutorial_ModCardTypes_004",343984055509247,"","模组卡包含不同的类型，通过卡牌的背景颜色予以标示。

共有5种类型的模组卡：<color=#ed5ed5>强化</color>、<color=#89ff91>效果</color>、<color=#89d0ff>扩散</color>、<color=#fec801>奇迹</color>、<color=#cd78ef>诅咒</color>。","","There are various types of Mod Cards.

Each type is indicated by the card's background color.

There are 5 different types of Mod Cards: <color=#ed5ed5>BOOST</color>, <color=#89ff91>EFFECT</color>, <color=#89d0ff>SPREAD</color>, <color=#fec801>MIRACLE</color> and <color=#cd78ef>CURSE</color>.",""
"Tutorial_ModCardTypes_006",343984055509248,"","效果卡","","Effect Cards",""
"Tutorial_ModCardTypes_007",343984055509249,"","此类卡牌会给你的武器卡附加额外效果。","","Cards that apply extra effects to your Weapon Card.",""
"Tutorial_ModCardTypes_008",343984055509250,"","扩散卡","","Spread Cards",""
"Tutorial_ModCardTypes_009",343984055509251,"","此类卡牌会将强化和/或效果扩散到多张武器卡上。

它们在手牌中的位置非常关键！","","Cards that spread boosts and/or effects across multiple Weapon Cards. 

How you position them in your hand is key!",""
"Tutorial_ModCardTypes_011",343984055509252,"","奇迹卡","","Miracle Cards",""
"Tutorial_ModCardTypes_012",343984055509253,"","这种稀有卡牌会赋予多重威力非凡的强化和/或效果。","","Rare cards that grant multiple powerful boosts and/or effects.",""
"Tutorial_ModCardTypes_013",343984055509254,"","诅咒卡","","Curse Cards",""
"Tutorial_ModCardTypes_014",343984055509255,"","这种稀有卡牌会赋予超凡的优势，但同时需要付出很大的代价。","","Rare cards that give you an extraordinary advantage that comes at a significant cost.",""
"Tutorial_MergingCards_001",343984055509256,"","合并卡牌","","Merging Cards",""
"Tutorial_MergingCards_002",343984055509257,"","你可以合并两张相同的卡牌，使之升级！

只需在玩家手牌中，将其中一张拖到另一张上方即可合并。

卡牌发出橙光时，即表示可合并，且中间还会显示合并符号！

注意：只能合并两张相同等级的卡牌。","","You can merge two copies of the same card to level it up! 

To do this, drag one of them on top of the other in your Player Hand.

You'll know they're ready when there's an orange glow and you can see the merge symbol in the center!

Note: You can only merge two cards of the same level.",""
"Tutorial_ModCardLevels_001",343984055509258,"","卡牌等级","","Card Levels",""
"Tutorial_ModCardLevels_002",343984055509259,"","模组卡最多可进化至3级，每进化一级都会优化卡牌的外观。

其基础数值也会随着等级提升！","","Mod Cards can be evolved up to level 3, and each level enhances your card's appearance. 

Their base stats are increased with every level up!",""
"Tutorial_WeaponCards_001",343984055509260,"","武器卡","","Weapon Cards",""
"Tutorial_WeaponCards_002",343984055509261,"","镀层","","Card Plating",""
"Tutorial_WeaponCards_003",343984055509262,"","镶边镀层标示卡牌的稀有度。","","Border plating indicates the card's rarity.",""
"Tutorial_WeaponCards_004",343984055509263,"","名称","","Card Title",""
"Tutorial_WeaponCards_005",343984055509264,"","描述","","Description",""
"Tutorial_WeaponCards_006",343984055509265,"","说明该武器如何对付敌人。","","Explains how the weapon works against enemies.",""
"Tutorial_WeaponCards_007",343984055509266,"","武器卡是可在整局游戏中收集的不同攻击方式。

每局游戏中，你的手牌最多可包含4张独特卡牌。

武器卡分为不同的稀有度！","","Weapon Cards are the different attacks you can collect throughout the run.

Your Player Hand can hold up to 4 unique cards per run.

Weapon Cards come in different rarities!",""
"Tutorial_HandManagement_001",343984055509267,"","手牌管理","","Player Hand Management",""
"Tutorial_HandManagement_002",343984055509268,"","这张扩散卡会同时影响左右两侧的武器卡！ ","","This Spread Card affects both Weapon Cards to the left and right!",""
"STT_Tutorial_HandManagement_003",343984055509269,"","按{0}将每叠卡移动到你想要的位置。

单独的模组卡也可以在不同武器卡之间切换。","","Press {0} to move each Stack of Cards to your desired position. 

You can also switch individual Mod Cards between different Weapon Cards.",""
"Tutorial_CardStatus_001",343984055509270,"","卡牌数值","","Card Stats",""
"STT_Tutorial_CardStatus_002",343984055509271,"","你可以随时按{0}查看卡牌数值菜单。

分析手牌的全部细节，根据需要调整策略！","","You can hit {0} to view the Card Stats Menu at any time. 

Analyze your Player Hand in full detail and strategize as needed!",""
"Tutorial_SignatureWeapons_001",343984055509272,"","招牌
武器","","Signature Weapons",""
"Tutorial_SignatureWeapons_002",343984055509273,"","名称","","Card Title",""
"Tutorial_SignatureWeapons_003",343984055509274,"","描述","","Description",""
"Tutorial_SignatureWeapons_004",343984055509275,"","神术","","Spell",""
"Tutorial_SignatureWeapons_005",343984055509276,"","招牌武器卡代表每位灵薄狱诗人专属的独特技能。","","Signature Weapon Cards represent unique abilities specific to each Poet of Limbo.",""
"Tutorial_SignatureWeapons_006",343984055509277,"","每局游戏开始前，你可以在广场的基座处选择偏好的招牌武器卡。","","You can select your preferred Signature Weapon Card before each run at the pedestal in the Forum.",""
"Tutorial_SignatureWeapons_007",343984055509278,"","每张招牌武器卡自带一招名为神术的终极攻击。","","Each Signature Weapon Card comes with an ultimate attack called a <i>Spell</i>.",""
"Tutorial_Spells_001",343984055509279,"","神术","","Spells",""
"Tutorial_Spells_002",343984055509280,"","神术是每张招牌武器卡独有的强大技能。","","Spells are powerful abilities unique to each Signature Weapon Card.",""
"Tutorial_Spells_003",343984055509281,"","神术印记","","Spell Token",""
"STT_Tutorial_Spells_003",343984055509282,"","在局内获得神术印记，并按{0}朝敌人释放。

留到紧要关头使用！

何时使用神术：","","Obtain the Spell Token during your run and hit {0} to unleash it upon your enemies. 

Save it for when you're in a pinch!

When to use a Spell:",""
"Tutorial_Spells_006",343984055509283,"","留意这个指示标志，就知道什么时候可以使用神术了！","","Keep an eye on this indicator to know when you can use a Spell!",""
"Tutorial_Charms_001",343984055509284,"","护符","","Charms",""
"Tutorial_Charms_002",343984055509285,"","白银","","Silver",""
"Tutorial_Charms_003",343984055509286,"","青铜","","Bronze",""
"Tutorial_Charms_004",343984055509287,"","黄金","","Gold",""
"Tutorial_Charms_005",343984055509288,"","贝雅特丽齐本人提供的护符，可以小小提升你的数值！

不过，护符只会影响到本局游戏。

共有3种稀有度：青铜、白银、黄金。","","Offered by Beatrice herself, Charms give your stats a small power-up!
 
However, they'll only affect your current run.

They come in 3 different rarities: bronze, silver and gold.",""
"Tutorial_Meta_001",343984055509289,"","深渊悲鸣","","Wails of the Abyss",""
"Tutorial_Meta_002",343984055509290,"","单局游戏持续的时间越长，能收集的深渊悲鸣就越多。

前往地狱之门献祭深渊悲鸣，即可兑换可升级的永久强化效果。

已花费的深渊悲鸣也可以随时选择退还，所以放心大胆地进行各种尝试吧！","","The longer your run lasts, the more Wails of the Abyss you will collect.

Use them as an offering at the Gates of Hell in exchange for permanent upgrades which you can level up.

You can refund them at any time so you can experiment to your heart's desire!",""
"PoetUnlocked_Ovid_001",343984055509291,"","Ovids-Blessing CNSIMP","","splashOvid__0001_Ovid",""
"PoetUnlocked_Ovid_002",343984055509292,"","text CNSIMP","","splashOvid__0000_description",""
"PoetUnlocked_Scarmi_001",343984055509293,"","titleCNSIMP","","ScarmiCocoSplash__0001_Cocco-&-Scarmi’s--------Taboo-Arts",""
"PoetUnlocked_Scarmi_002",343984055509294,"","textCNSIMP","","ScarmiCocoSplash__0000__Lady-Malacoda-will-be-hearing--all-about-this,-you-ruffians!_",""
"LastResort_Minos",343984055509295,"","Labyrinth Supreme GasileusCNSIM","","Labyrinth Supreme Gasileus",""
"LastResort_Libicoco",343984055509296,"","Love♥Panic PirouetteCNSIMP ","","Love♥Panic Pirouette ",""
"OST_Circle1",343984055509297,"","异教徒天堂 ~ 生与死之间的门槛","","Paganic Paradise ~ Threshold between Life and Death",""
"OST_Forum",343984055509298,"","少女万神殿 ~ 广场","","Maiden's Pantheon ~ The Forum",""
"OST_MinosBoss",343984055509299,"","上古蛇王 ~ 最终判决","","Serpentine Gasileus ~ Ultimate Sentence",""
"OST_Prologue",343984055509300,"","序章","","Prefazione",""
"OST_Circle2",343984055509301,"","爱之回廊 ❤ 陀飞轮","","Corridors of Love ❤ Tourbillon",""
"OST_StageClear",343984055509302,"","不朽灵魂","","Undying Anima",""
"OST_GameOver",343984055509303,"","永恒安魂曲","","Requiem Aeternam",""
"OST_MinosPreBattle",343984055509304,"","审判之厅","","Hall of Judgement",""
"OST_ScarmiLibiBossBattle",343984055509305,"","挚爱 ❤ 恐慌回旋舞","","LOVE ❤ Panic Pirouette",""
"OST_EmotionalTheme",343984055509306,"","圣心","","Sacro Cuore",""
"OST_PlayfulTheme",343984055509307,"","微光小行板","","Luminous Andantino",""
"OST_ScarmiLibiPreBattle",343984055509308,"","黑蝙蝠探戈","","Black Bat Tango",""
"TPL_Permanent Damage",343984055509309,"","永久伤害+ <size=1><sprite=""Damage"" index=0></size>","","Permanent Damage+ <size=1><sprite=""Damage"" index=0></size>",""
